Year,Month,Stations,prec,tmax,tmin,Region
2024.0,Month_10,columbus junct 2 ssw,82.8,21.8,6.26,southeast
2024.0,Month_11,columbus junct 2 ssw,90.68,11.0,1.94,southeast
2024.0,Month_12,columbus junct 2 ssw,0.76,0.63,-8.68,southeast
2024.0,Month_2,columbus junct 2 ssw,6.35,10.25,-3.51,southeast
2024.0,Month_3,columbus junct 2 ssw,71.37,12.42,0.63,southeast
2024.0,Month_4,columbus junct 2 ssw,173.74,17.24,5.65,southeast
2024.0,Month_5,columbus junct 2 ssw,88.39,24.28,12.24,southeast
2024.0,Month_6,columbus junct 2 ssw,146.81,28.68,17.91,southeast
2024.0,Month_7,columbus junct 2 ssw,128.27,27.62,17.97,southeast
2024.0,Month_8,columbus junct 2 ssw,119.63,27.84,17.9,southeast
2024.0,Month_9,columbus junct 2 ssw,2.54,26.04,12.91,southeast
2015.0,Month_1,fairfield,22.36,-0.07,-10.5,southeast
2015.0,Month_10,fairfield,40.39,18.11,6.11,southeast
2015.0,Month_11,fairfield,143.26,12.31,2.41,southeast
2015.0,Month_12,fairfield,117.88,7.35,-0.22,southeast
2015.0,Month_2,fairfield,43.44,-3.41,-14.05,southeast
2015.0,Month_3,fairfield,9.15,9.73,-3.46,southeast
2015.0,Month_4,fairfield,76.46,18.1,5.5,southeast
2015.0,Month_5,fairfield,118.88,22.06,11.54,southeast
2015.0,Month_6,fairfield,159.52,26.31,16.31,southeast
2015.0,Month_7,fairfield,210.83,28.06,18.32,southeast
2015.0,Month_8,fairfield,60.46,27.02,16.31,southeast
2015.0,Month_9,fairfield,71.88,27.22,15.06,southeast
2016.0,Month_1,fairfield,6.61,-0.68,-9.23,southeast
2016.0,Month_10,fairfield,66.3,19.93,8.8,southeast
2016.0,Month_11,fairfield,17.79,14.69,2.52,southeast
2016.0,Month_12,fairfield,31.25,0.48,-6.86,southeast
2016.0,Month_2,fairfield,22.11,3.83,-4.83,southeast
2016.0,Month_3,fairfield,64.53,11.9,1.56,southeast
2016.0,Month_4,fairfield,50.56,16.46,4.92,southeast
2016.0,Month_5,fairfield,95.01,21.51,10.63,southeast
2016.0,Month_6,fairfield,29.72,29.96,16.98,southeast
2016.0,Month_7,fairfield,196.09,28.28,18.09,southeast
2016.0,Month_8,fairfield,235.47,28.26,18.8,southeast
2016.0,Month_9,fairfield,22.86,26.98,15.35,southeast
2017.0,Month_1,fairfield,36.85,1.22,-6.51,southeast
2017.0,Month_10,fairfield,117.87,18.35,8.23,southeast
2017.0,Month_11,fairfield,20.08,9.21,-1.32,southeast
2017.0,Month_12,fairfield,13.47,2.37,-7.2,southeast
2017.0,Month_2,fairfield,7.37,9.31,-3.0,southeast
2017.0,Month_3,fairfield,64.53,9.77,-0.91,southeast
2017.0,Month_4,fairfield,132.34,16.96,6.24,southeast
2017.0,Month_5,fairfield,78.23,20.79,9.41,southeast
2017.0,Month_6,fairfield,22.35,29.0,15.54,southeast
2017.0,Month_7,fairfield,28.96,31.63,18.47,southeast
2017.0,Month_8,fairfield,37.86,27.76,14.96,southeast
2017.0,Month_9,fairfield,155.2,27.58,13.29,southeast
2018.0,Month_1,fairfield,10.42,-0.68,-8.19,southeast
2018.0,Month_10,fairfield,117.11,15.75,4.94,southeast
2018.0,Month_11,fairfield,83.32,3.69,-4.02,southeast
2018.0,Month_12,fairfield,39.13,3.24,-5.31,southeast
2018.0,Month_2,fairfield,59.45,1.19,-9.15,southeast
2018.0,Month_3,fairfield,80.53,7.63,-2.39,southeast
2018.0,Month_4,fairfield,16.52,11.63,-0.71,southeast
2018.0,Month_5,fairfield,103.13,26.86,14.53,southeast
2018.0,Month_6,fairfield,126.25,28.83,18.04,southeast
2018.0,Month_7,fairfield,51.82,29.07,17.63,southeast
2018.0,Month_8,fairfield,151.9,29.16,17.74,southeast
2018.0,Month_9,fairfield,127.51,24.92,14.14,southeast
2019.0,Month_1,fairfield,74.69,-1.72,-10.79,southeast
2019.0,Month_10,fairfield,50.05,14.06,2.99,southeast
2019.0,Month_11,fairfield,29.22,5.83,-3.37,southeast
2019.0,Month_12,fairfield,23.38,5.46,-3.91,southeast
2019.0,Month_2,fairfield,80.53,-1.75,-12.0,southeast
2019.0,Month_3,fairfield,62.49,5.57,-4.28,southeast
2019.0,Month_4,fairfield,71.39,15.91,3.85,southeast
2019.0,Month_5,fairfield,292.87,19.34,8.62,southeast
2019.0,Month_6,fairfield,87.13,26.37,15.54,southeast
2019.0,Month_7,fairfield,55.12,30.64,19.12,southeast
